CLIENT,count
TECHNIPFMC PLC,2749
TECHNIPFMC,1896
JSC YAMAL LNG,1493
FLEXI FRANCE,1058
N/A - No Vendor,820
TRANS ADRIATIC PIPELINE AG,733
PETROBRAS,560
nan,485
SHELL,441
TECHNIP MARINE OPERATION SERVICES,390
"SASOL NORTH AMERICA, INC.",371
ARCTIC LNG 2,322
TECHNIPFMC UMBILICALS LTD,311
WOODSIDE ENERGY LTD.,298
THE BAHRAIN PETROLEUM COMPANY BSC,254
BP,247
"FMC TECHNOLOGIES SURFACE INTEGRATED SERVICES, INC.",246
EQUINOR ENERGY AS,231
HESS CORPORATION,231
ENERGEAN ISRAEL LIMITED,210
EXXONMOBIL,207
TOTAL E&P ANGOLA BLOCK 32,200
"TechnipFMC Umbilicals, Inc.",188
TOTAL E&P CONGO,181
ASIAFLEX PRODUCTS SDN. BHD.,174
STATOIL ASA,172
PETRONAS,170
TECHNIP FMC,169
AZERIKIMYA PRODUCTION UNION SOCAR,152
MELLITAH OIL & GAS B.V. LIBYAN BRANCH,149
