OPERATING_CENTER,count
N/A - Non Project Specific,3583
EMIA - TPIT - Italy - Rome,1188
NAM - FMCSurfSvsUS - USA - Houston,1028
REGION NORTH AMERICA - TPUSA - USA - Houston,709
NAM - FMCSubseaServ - USA - Houston,705
NAM - TPUSA - USA - Houston,655
EMIA - STLNG - France - Paris,538
REGION B - TPIT - Italy - Rome,502
SUBSEA EUROPE - TUK - UK - Aberdeen (UKBU),496
REGION YAMAL - STLNG - France - Paris,477
EMIA - FFRANCE - France - Le Trait (Flexibles),460
SUBSEA EUROPE - FMCLimitedENG - UK - Dunfermline,436
SUBSEA EUROPE - TUK - UK - Aberdeen (TMOS),421
REGION A - TPFR - France - Paris,419
EMIA - TPINDIALTD - India - New Delhi,396
NAM - FMCSurfSvsUS - USA - Stephenville,322
REGION YAMAL - Yamgaz - France - Paris,314
EMIA - TPFR - France - Paris,313
SAM - TPBRASIL - Brazil - Rio de Janeiro (Region BZ),283
NAM - FMCTCanada - Canada - Calgary,279
TPBRASIL - Brazil - Rio de Janeiro (Region BZ),276
TUK - UK - Aberdeen (UKBU),263
APAC - TPOCEANIA - Australia - Perth,259
REGION NORTH SEA CANADA - TUK - UK - Aberdeen (UKBU),247
SUBSEA EUROPE - FMCKSubsea - Norway - Agotnes,227
TPNORGE - Norway - Lysaker,223
SUBSEA EUROPE - TUL - UK - Newcastle (Umbilicals),215
NAM - TUI - USA - Houston (Umbilicals),203
TUK - UK - Aberdeen (TMOS),198
SAM - FMCTBrazil - Brazil - Rio De Janeiro,195
