WORKPLACE,count
"Sabetta Site, Sabetta, Russia, Asia Pacific",1009
"Flexi France, Le Trait, France, Europe",706
"Gremp Campus (Generation Park), Houston, USA, North America",696
"Dunfermline Manufacturing, Dunfermline, UK, Europe",433
"Minot Service Base, Minot, USA, North America",423
"Flexi France, Le Trait, France, Europe, TechnipFMC",385
"zObsolete - Athens Facility, zObsolete - Athens, zObsolete - Greece, Europe",370
"Unknown, Lake Charles, USA, North America",369
"TU Inc, Channelview, USA, North America",367
"Gremp Campus (Generation Park), Houston, USA, North America, TechnipFMC",360
"Stephenville Manufacturing, Stephenville, USA, North America",297
"Flexibras, Acu, Brazil, South America",293
"zObsolete - Tirana Facility, zObsolete - Tirana, zObsolete - Albania, Europe",293
"zObsolete - ALNG2 COSCO Yard, zObsolete - Qidong, China, Asia Pacific",291
"TP Umbilical Factory, Newcastle, UK, Europe",287
"Deep Blue, Aberdeen, UK, Europe",274
"Unknown, Unknown, Bahrain, Middle East",255
"Odessa Service Base, Odessa, USA, North America, TechnipFMC",244
"Agotnes Facility, Agotnes, Norway, Europe, TechnipFMC",231
"Odessa Service Base, Odessa, USA, North America",203
"Theodore Spoolbase, Theodore, USA, North America",200
"Minot Service Base, Minot, USA, North America, TechnipFMC",197
"Asiaflex Products, Johor Bahru, Malaysia, Asia Pacific",188
"Deep Orient, Aberdeen, UK, Europe",185
"Singapore Manufacturing, Singapore, Singapore, Asia Pacific",175
"Baku Office - Marine Plaza, Baku, Azerbaijan, Europe",173
"Unknown, Pengerang, Malaysia, Asia Pacific",168
"Deep Arctic, Aberdeen, UK, Europe",166
"zObsolete - Anvers Facility, zObsolete - Anvers, zObsolete - Belgium, Europe",165
"zObsolete - Batam Facility, zObsolete - Batam, Indonesia, Asia Pacific",163
