WORK_PROCESS,count
nan,2744
Construction,2532
Construction - Installation,2178
Yards,1166
Vessel / Yards,830
Support Service,805
Marine Operations,598
Transport / Handling / Packing,577
Workshop Activities,506
Manufacturing,494
Operations,483
Other Manufacturing Activities,480
Construction - Installation-Operations,399
Construction - Installation-Construction,364
Vessel / Yards-Workshop Activities,350
Diving,332
Rigid Pipeline Installation,319
Warehouse,283
Assembly & Test,274
Yard - Spool Base Fabrication,270
ROV Operations,243
Construction - Installation-Offshore Installation,238
Maintenance,227
Engineering,224
Spoolbase Operations,216
Assembling,214
Vessel / Yards-Marine Operations,214
Flexible Pipe Installation,206
Fleet Maintenance,204
Offshore Installation,204
