token,count
europe,1092
america,1087
zobsolete,909
north,822
technipfmc,767
usa,710
unknown,619
uk,515
base,499
asia,432
pacific,432
service,423
aberdeen,369
france,362
south,327
facility,296
sabetta,277
brazil,252
india,239
manufacturing,231
houston,224
deep,221
site,166
le,164
trait,164
norway,163
minot,156
russia,156
flexi,152
rio,151
de,151
janeiro,151
campus,143
africa,133
park,129
gremp,128
generation,128
odessa,127
dunfermline,114
workplace,114
stephenville,111
singapore,102
agotnes,94
athens,90
middle,86
east,86
office,83
malaysia,83
tirana,80
energy,72
spoolbase,70
theodore,70
skandi,70
baku,68
china,65
and,62
acu,60
canada,57
missing,57
location,57
please,57
update,57
lookup,57
table,57
brighton,56
neuquen,54
yard,52
luanda,52
alng,50
anvers,50
flexibras,49
greece,47
plsv,47
australia,46
tananger,45
angola,45
vitoria,45
kongsberg,44
lake,43
charles,43
albania,43
sea,42
blue,41
products,40
tu,40
inc,40
channelview,40
industrial,40
tp,40
umbilical,40
factory,40
newcastle,40
marine,39
asiaflex,39
johor,39
bahru,39
plant,39
hyderabad,39
orkanger,38
henderson,38
